"Step","rnn_grid_2 - Max deterministic score from rollout of 1000 steps","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MAX","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MAX"
"1799","7","7","7","12","12","12"
"1804","6","6","6","8","8","8"
"1809","5","5","5","7","7","7"
"1814","3","3","3","14","14","14"
"1819","4","4","4","10","10","10"
"1824","5","5","5","10","10","10"
"1829","6","6","6","8","8","8"
"1834","3","3","3","7","7","7"
"1839","6","6","6","5","5","5"
"1844","3","3","3","4","4","4"
"1849","4","4","4","10","10","10"
"1854","3","3","3","13","13","13"
"1859","6","6","6","7","7","7"
"1864","8","8","8","14","14","14"
"1869","4","4","4","4","4","4"
"1874","5","5","5","5","5","5"
"1879","1","1","1","14","14","14"
"1884","4","4","4","7","7","7"
"1889","11","11","11","10","10","10"
"1894","5","5","5","10","10","10"
"1899","8","8","8","13","13","13"
"1904","1","1","1","10","10","10"
"1909","5","5","5","8","8","8"
"1914","2","2","2","16","16","16"
"1919","4","4","4","10","10","10"
"1924","6","6","6","6","6","6"
"1929","12","12","12","14","14","14"
"1934","5","5","5","5","5","5"
"1939","1","1","1","11","11","11"
"1944","1","1","1","8","8","8"
"1949","1","1","1","6","6","6"
"1954","4","4","4","9","9","9"
"1959","6","6","6","7","7","7"
"1964","2","2","2","8","8","8"
"1969","3","3","3","12","12","12"
"1974","4","4","4","3","3","3"
"1979","4","4","4","15","15","15"
"1984","2","2","2","12","12","12"
"1989","1","1","1","2","2","2"
"1994","4","4","4","13","13","13"
"1999","3","3","3","9","9","9"
"2004","7","7","7","15","15","15"
"2009","4","4","4","9","9","9"
"2014","2","2","2","9","9","9"
"2019","1","1","1","8","8","8"
"2024","4","4","4","10","10","10"
"2029","3","3","3","11","11","11"
"2034","6","6","6","3","3","3"
"2039","1","1","1","10","10","10"
"2044","6","6","6","11","11","11"
"2049","6","6","6","3","3","3"
"2054","4","4","4","12","12","12"
"2059","2","2","2","8","8","8"
"2064","1","1","1","13","13","13"
"2069","1","1","1","7","7","7"
"2074","2","2","2","3","3","3"
"2079","8","8","8","4","4","4"
"2084","3","3","3","8","8","8"
"2089","4","4","4","3","3","3"
"2094","8","8","8","8","8","8"
"2099","7","7","7","15","15","15"
"2104","3","3","3","10","10","10"
"2109","2","2","2","6","6","6"
"2114","6","6","6","13","13","13"
"2119","1","1","1","8","8","8"
"2124","4","4","4","4","4","4"
"2129","2","2","2","2","2","2"
"2134","8","8","8","9","9","9"
"2139","4","4","4","9","9","9"
"2144","9","9","9","9","9","9"
"2149","6","6","6","12","12","12"
"2154","5","5","5","12","12","12"
"2159","1","1","1","2","2","2"
"2164","6","6","6","15","15","15"
"2169","1","1","1","11","11","11"
"2174","1","1","1","13","13","13"
"2179","10","10","10","14","14","14"
"2184","7","7","7","6","6","6"
"2189","1","1","1","13","13","13"
"2194","2","2","2","10","10","10"
"2199","14","14","14","12","12","12"
"2204","2","2","2","13","13","13"
"2209","2","2","2","11","11","11"
"2214","3","3","3","13","13","13"
"2219","2","2","2","7","7","7"
"2224","5","5","5","10","10","10"
"2229","2","2","2","10","10","10"
"2234","2","2","2","9","9","9"
"2239","1","1","1","12","12","12"
"2244","1","1","1","14","14","14"
"2249","1","1","1","14","14","14"
"2254","2","2","2","7","7","7"
"2259","2","2","2","12","12","12"
"2264","1","1","1","10","10","10"
"2269","8","8","8","15","15","15"
"2274","8","8","8","15","15","15"
"2279","4","4","4","12","12","12"
"2284","7","7","7","14","14","14"
"2289","1","1","1","14","14","14"
"2294","6","6","6","16","16","16"
"2299","2","2","2","10","10","10"
"2304","8","8","8","10","10","10"
"2309","5","5","5","9","9","9"
"2314","9","9","9","13","13","13"
"2319","1","1","1","7","7","7"
"2324","3","3","3","9","9","9"
"2329","8","8","8","14","14","14"
"2334","4","4","4","10","10","10"
"2339","3","3","3","13","13","13"
"2344","1","1","1","1","1","1"
"2349","6","6","6","14","14","14"
"2354","6","6","6","8","8","8"
"2359","6","6","6","12","12","12"
"2364","9","9","9","11","11","11"
"2369","8","8","8","15","15","15"
"2374","1","1","1","2","2","2"
"2379","3","3","3","12","12","12"
"2384","1","1","1","2","2","2"
"2389","3","3","3","5","5","5"
"2394","1","1","1","9","9","9"
"2399","8","8","8","14","14","14"
"2404","1","1","1","11","11","11"
"2409","7","7","7","13","13","13"
"2414","1","1","1","12","12","12"
"2419","3","3","3","6","6","6"
"2424","2","2","2","12","12","12"
"2429","1","1","1","9","9","9"
"2434","8","8","8","12","12","12"
"2439","4","4","4","2","2","2"
"2444","6","6","6","9","9","9"
"2449","8","8","8","14","14","14"
"2454","4","4","4","9","9","9"
"2459","5","5","5","10","10","10"
"2464","1","1","1","14","14","14"
"2469","2","2","2","12","12","12"
"2474","6","6","6","12","12","12"
"2479","8","8","8","13","13","13"
"2484","2","2","2","12","12","12"
"2489","1","1","1","13","13","13"
"2494","7","7","7","13","13","13"
"2499","6","6","6","3","3","3"
"2504","2","2","2","12","12","12"
"2509","3","3","3","3","3","3"
"2514","2","2","2","12","12","12"
"2519","1","1","1","8","8","8"
"2524","6","6","6","7","7","7"
"2529","1","1","1","3","3","3"
"2534","1","1","1","12","12","12"
"2539","2","2","2","6","6","6"
"2544","10","10","10","13","13","13"
"2549","4","4","4","15","15","15"
"2554","3","3","3","3","3","3"
"2559","7","7","7","14","14","14"
"2564","1","1","1","7","7","7"
"2569","8","8","8","8","8","8"
"2574","6","6","6","16","16","16"
"2579","1","1","1","10","10","10"
